Sentence,Neutral (N) / Hostile (H)
jo bharosay waley hotay hein wohi bhosri waley bhi hotay hein,H
gand maro in bhosri walon ki,H
mujhey tum per fakhar hai kaptaan,N
kohli tatti hai imran khan ke samney,H
imran khan seyasat ka bhi badshah hai aur cricket ka to hameshah se hi hai,N
imran sahab in chaplooson se to jan churwa lein ab,N
suwar ke bacho phir haar ke aa gaye ho,H
hareem shah ab acting krti hui nazar ayen gi,N
tiktok per hareem shah pehlay hi kafi maqbool hein,N
hareem shah ne acting ke liye company se muahidah sign ker liya,N
agar kam kernay ka dil nahi ker raha to so jao,N
khuda ki rehmat se beta paida hua hai,N
zindagi mein paisa ho to kia kuch nahi ho sakta,N
anthony mera behtreen dost hai,N
main amitabh ki acting ka deewana hun,N
islam jhoota mazhab hai,H
islam sirf gumrahi phelata hai,H
islam ke naam per logon ko gumrah kia jata hai,H
ye islam ke naam ka manjan ab nahi bikta sahab,H
saray musalman kutton ki yehi soch hoti hai,H
qasam se ager tu musalman na hota to bach jata lekin ab teri gaand mari jaye gi,H
musalaman hona koi aizaz ki bat nahi hai,H
kal bhi sikh hamari jooti ke neechay thay aur aaj bhi jooti ke neechay hi hein,H
musalmaan kanjaron se deal kernay ka yehi tareeqah hai,H
yahoodi unya bhar mein fahashi phela rahey hein,H
yahoodi us waqt tk baaz nahi ayen gey jab tak unki maa na chod di jaye,H
hindoun ka randi rona aisay hi chalta rehta hai,H
jab kuch na bn saka to hindoun ko lund bana diya,H
shia logon ki maa chudi pari hai aaj kal,H
eik to goray bhenchod apni behnon ko hi chod detay hein,H
dunya mein yahoodi na hotay to bohut sakoon hota,H
gori kanjreyan bund hila hila ke mood bana deti hein,H
padri church ke ander hi bachiyon ka rape ker detay hein,H
france mein scarf pehanny per pabandi lag gai hai,H
france ke logon aur kutton mein koi farq nahi,H
PDM mazhab ke naam per seyasat ker rahi hai,N
arey o badnasli loray dafa ho yahan se,H
bilal ki maa ka bhosra,H
jaali police muqabley mein pashtoon nojawan ko halaaq kiya gaya,H
nabeena afraad phir ehtejaj ke liye sarkoun per aa gaye,N
ye khusra hai bhenchod,H
dimagh se randibazi nikalo gey to kuch aur hoga na,H
lahoriyon ki aqal gadhey khaa khaa ke khatam ho gai hai,H
delhi hai hi rapists ka shehar,H
han bhuvam bhosrike nazar nahi aa raha aaj kal,H
ehtesab ke idaron pe taala daal ker chabi kisi aur ko nahi de saktey,N
faisalabad mein nojawan ko janwaron ke sath bandh diya gaya,H
zameendaar ne nojawan ko zanjeeron se bandh diya,H
nehattay nojawan per amir ne 5 sathiyon ke sath mil ker tashaddud kiya,H
ager tu kisi nasli kanjari ka bacha hua to dobara ye kam nahi karey ga,N
PDM ki saffon mein mayoosi phail chuki hai,N
amreeka ki taraqqi mein michelle obama ka ahem kirdaar hai,N
modi ne jeetnay ke liye foji adventure kiya,N
school van ultaney se 5 bachey zakhmi ho gaye,N
mahira khan ki maqbooliyat mein izafah ho raha hai,N
corona vaccine se honay wali halakton se pareshan nahi hun,N
un logon ke sth rahen jo apko tarjeeh detay hein,N
iqbal qasim corona ka shikar ho gaye,N
australia bhi corona per qabu paney mein kamyab ho raha hai,N
sahih mardam shumari honay tak karachi khamosh nahi rahey ga,N
ghair kanooni funding declare ho gai to hakumat khud ko tehleel ker de gi,N
hum eik badalta pakistan dekh rahey hein,N
israel mein corona vaccine lgwaney waley 13 shehriyon ko falij ho gaya,N
bilawal sakhar ke hazaron mazdooron mein flats taqseem kren gey,N
karachi se daesh ko paisy bhejnay ka inkeshaf huwa hai,N
geo ke cameraman per hamla kernay walon ke khilaf karwai hogi,N
meri gari ka kam latak hi gya hai,N
teri biwi ne kitchen se chimta la ker teri gand mein de dena hai,H
parhai per tawajjah na denay per baap ne betay ko aag laga di,H
jald haqaiq qoum ke samney rakhen gey,N
mufi qavi 2 roz se meray sath nazaiba guftugu ker rahey thay,N
modi arkar aur bharti media ka gath jor benaqab ho gaya hai,N
ye ehtejaj khud unke khilaf hi jaye ga,N
looteray ab bach nahi saktey,N
ab ehtesab ka waqt aa chuka hai,N
nawaz gandu qoum ko choona lagata raha hai,H
bharti jhoot ka pardah chaak ho raha hai,N
PDM ehtejaj chor machaye shor ke siwa kuch nahi,N
mehengai khatam kernay mein waqt lagey ga,N
state bank se aaj tak eik takka nahi liya,N
stock market mein mandi ka rujhan raha,N
sabit ho chuka hai ke nawaz sharif ne parliament aur qoum se jhoot bola,N
beeri dair se laney per baap ne 10 salah betay ko aag laga di,H
hareem shah ki leaked video ne mufti qawi ki parsai ka poll khol diya,N
cheen mein corona waba ki soortehal tashweeshnak ho gai,N
ae loray apna kam ker na ja ke,H
kuch neya bohut jald aa raha hai,N
daman saaf hai to talashi do,N
election comission ke bahir ehtejaj ki nakami per tazeyat kerta hun,N
"kuch dard hai meray seenay mein, mujhey mast mahol mein jeenay de",N
tu kanjari hai basera ker lun ke paharon per,H
canada ke school mein mujhey indian honay ki wajah se daraya geya,H
main to har case mein chooteyah hun,H
canada mein rangat ki wajah se dehshatgard ke kirdaar diye jatey thay,H
ahelkaron ne waqas ko car se bahir nikal ker goli mari,H
police walon ne hamesha ki tarah darinda honay ka saboot diya hai,H
ye kanjreyan angrez banny ki koshish ker rahi hein,H
jannat mirza eik bar phir tiktok per chaa gayen,N
tu jphar aa teri maa chod dein gey,H
anari hukmaran koi bara blunder ker saktey hein,N
khalistan bn ke rahey ga,N
yeh kisan nahi dehshatgard hein,H
yeh kisan nahi thug hein,H
khalistan ki bat kernay waley bhi dehshatgard hein,H
kisanon ke naam per zabardast gundagardi ki gai,N
dehshat phelanay walon ke khilaf sakht karwai hogi,N
khalistan sirf canada mein bn skta hai,N
sikh bharat se nikal jayen aur canada dafa ho jayen,H
khalistan wala chuteyapa canada ja ker karo,H
sikh chuteyapa kernay se baaz rahen,H
khalistani sikh kanjar hein,H
sikhon ne apni aukat dikha di hai,H
khalistaniyon ko foran giraftar kerna chahiye,H
modi apni qabar khud khod raha hai,N
Yeh kutta hindustan mein reh ke aisa kiya sharam aa rahi hai,H
india ka jhanda zameen per phenk diya gaya,N
zeyada tar sikh khalistan ko support kertay hein,N
khalistani kuttey ki mout maren gey,H
jhanda utarney ka badla liya jaye ga,H
dushman bahir se nahi hamarey ander se hi hai,N
hullarbazi kernay walon ko saza hogi,N
sab kanjar jail jayen gey,H
Kitna zeher uglogey bhenchod?,H
bharat ne khittey ke aman ko barqarar rakhney ke liye hamesha munfi kirdar adaa kia hai,N
public property ko nuqsan pohunchaney walon ko danday paren gey,H
Fake news phailaney mein Priti madam ka koi jawab nahi,N
apna anaaj khud ugaa lo bharwo,H
Pakistan mein corruption pehlay se mazeed barh gai hai,N
amreeka mein dehshatgardi ka khatra hai,N
fouj ne teri gand khol k rakh deni hai,H
tujh se shadi kerna sab se ghalt faisla tha,N
koi itna sohna kesay ho sakta hai,N
meri bund marney ki bajaye apney kam pe focus ker,H
aao madni tayaray per chaltay hein,N
pilot nashay ki halat mein tha,N
Allah ki qasam aaj tu khatam hai,H
dunya hum se sawal kerti hai ke waba per apne kesay qabu paya,N
noon legue aur qabza mafia eik hi hein,N
tumhen tareekhi sikasht dein gy,N
report mein apke leaders ki corruption ki bat ho rahi hai,N
ye malang banda hai,N
nashay ne tujhey kahin ka nahi chora,N
main bilaawal ke liye dua go hun,N
2 saal se imran khan ne sirf badunwani ki sarparasti ki hai,N
teri phuddi bohut chikni hai,H
phuddi marani k jaldi aaya ker kam per,H
tu bas phuddi ka mureed hai,H
gashtiye gand mara li hai to ghar aa ja ab,H
tera lund nach khatam ho gya hai to ab kam per focus ker le,H
bhosrike tu malang nai kalank hai,H
khokhar ki gand maar k maza aaya hai wesy,H
oye choti lulli waley idher aa,H
teri kia maa mar gai hai jo aisey mu bna ker betha hai,H
sikhon ka hajoom dekh ker police walon ki bund phat gai thi,H
sikhon ne danday maar ke police walon ka bura haal ker diya,H
tu mujhey abu bhi bana le to main ne ye kam nahi krna,N
malik ne tankhuah mangney per mulazim ko jala dala,H
ye election commission mein khud phans gaye hein,N
assembly members mutmain rahen,N
karachi ko sindh hakumat k sahary nahi choren gy,N
kisanon ko har jagah dhakkay khanay per rahey hein,N
sharif khandan qabza group ka sarghanah hai,N
karachi ke colleges mein corona cases barh rahey hein,N
gand mein ghus jao hamari,H
alarm laga ker so na bhosrike,H
beta sharmi ji k haan se cheeni to le aa zara,N
nikal ghareeb bhosrike,H
chal madarchod nikal idhar se,H
yasir ke ghar beta paida hua hai,N
pubg per block kernay per dost ko qatal ker diya,H
agar tu gaand na marwaye to hum waqt per pohunch saktey hein,H
sikhon ko ghaddar kaha ja raha hai,H
kisanon per har jagah zulm jari hai,H
ye qoum jurmana kiye beghair baz nahi aye gi,N
bhosriwalo tum kia soch rahey thy,H
oye bhosrike saharmayo mat,H
"jis ne ki sharam, uske phooty karam",N
karam to tu saray ulty hi kiye hein per aaj koi ghalti na kren,N
impression ki maa ka bhosra,H
tu ne koi impression nahi jharna,N
ja meray sher jee le apni zindagi,N
mard hawas ka pujari hota hai,H
teri jawani to nikalti ja rahi hai,N
"aby chootye police aye hai, ganden thoky gi ab",H
aby bhosrike tu ne hamen chootya samjha hua hai?,H
beta thanay mein gand thokta hun teri,H
tu aadmi hai k chootya hai,H
sikhon ka lund nach aisy hi chalta rahy ga,H
main ab amli tor per musalman nahi hun,N
islami asoolon se ab mera koi taaluq nahi hai,N
mujhey to aaj tak khuda nazar nahi aaya,N
musalmanon ne apna jhoota khuda bana rakha hai,H
tum chaley aao tumhen paharon ki qasam,N
aisy hi chalta raha to tjy khanzeer banny mein zyada der nahi lagy gi,H
khandan walon ko khush kernay k liye musalman hony ka drama kia,N
in donon ko aiwan mein jooty parny chahiyen,H
Behnchod agar daagh achey hain toh washing powder kyun bnaya hai?,H
meri maa hindu aur mera baap musalman hai,N
islam mein insaniyat nahi hai,H
mujhey musalman pasand nahi hein,H
hindu aman pasand hotay hein,N
mujhey hindu mazhab se pyar hai,N
musalman jazbati aur wehshi hotay hn,H
kutty aur musalman mein koi farq nahi,H
kanjaron ka ghar hai pakistan,H
sarkari mulazmeen se dushmanon jesa salook na kia jaye,N
barey miyan seyasat mn horse trading k moajad hn,N
opposition ne hamesha noton ki seyasat ki hai,N
election open belt system ke tehat hony chahiyen,N
opposition system mn reh ker election larey,N
apna gand dosron ke moun pe na malen,N
peshawar mein khuwaja sara ko zeyadti ka nishana bana diya gya,H
afsaron ko ghareebon ki takaleef ka ehsas krna hoga,N
chennai mn zalim baap ne biwi aur beti ko qatal ker dya,H
randi ko choda lagny wala hai,H
baaz aa ja wrna chudy gi mery hathon,H
qaleen bichao maa na chudao,H
qabiz bharti foj ke hathon 60 salah bazurg shaheed,H
tu larki nahi gashti hai aur rahey gi,H
aaj apko wo baten btayen gy jisy sun k aap bohut khush hn gy,N
bohut bakchody ho gaye ho bhosrike,H
bohut bhenchodon ki zindagian ujari hn hum ne,H
ja oye phudra,H
is nasli gashti ki jtni b bund maar lo isko asar nai hona,H
lahore mein ameer khatoon ka dukandar pe shadeed tashaddud,H
teri nigah ne jadu ker diya hai mujh per,N
tu abi tk lun choopu hi hai,H
ja faheemy bund hi marai hai,H
teri main bund maron gashtiye,H
bachpan se hi loray lagy huay hn,H
itna haramo londa main ne apni zindagi mn nai dekha,H
chota bohut harami ho gya hai aaj kal,H
gand tor dein gy ye log meri mujhey bacha lo,H
bandi tk to thek tha lekin baap ko kon chhotya bnata hai,H
vote chor hakumat qabul nahi,N
aap wafadar ittehadi hn,N
lahore eik bar phr kacha kundi mn badalny lga,N
dalley ke aagy balley thandy ho gaye,H
tu baba dalla bangali hai,H
ye chirya chakka nai maar skti,N
hum per punjab mn Allah ka azab nazil ker dia gya hai,N
adil ki saza bhi wohi honi chahiye jo badmash ki hoti hai,N
patel bhai galiyan deny ka dil ker raha hai apko,H
saly bhenchod ko bilkul b tameez nai hai,H
bol na bhenchod,H
ye bhen ka lora baten sun rha tha hamari,H
teri bund ki photo kheench li usne,H
college mn teri bund ki photo gum gai,H
isko kehty hn bund wajna ,H
aby oh machar madarchod mjy tung na kr,H
oh bhosrike teri gand mein main ne danda ghusa dena hai,H
ye south pole ka suwar mary ga mery ko,H
bhai ki gand to bilkul malai jesi hai,H
mera lund mu mn na daal beta,H
tery papa bary hi bhenchod hein,H
anshuman tu eik number ka chootya hai,H
aby loru kia gand mara raha hai,H
maa chudanay gai teri mangni,H
ma chudanay gya tumhara order,H
lanti k bachy tu ne mjy dhakka kyun dia,H
main ne mazeed khelny se retirement le li hai,N
"itny dheyan se kia dekh rha hai, tu ne b apni gand marani hai?",H
ye gutter zehen ki aurat national media per bethi bhashan jhaar rahi hoti hn ,H
tery nipple bary hn aur lulli choti hai,H
ye jb b koi female organism dekhta hai iska munna bhayya khara ho jata hai,H
bhenchod itny bury log adhar card mn b nai lgty`,H
isiliye to scientists ne apni puri zindagi lga di tak ye sunehra loru chand pe ja k phudakkiyan maar saky,H
bhosrike chaand pe kon bech rha hai taary,H
akhir kitni jhand ho skti hai kisi ki zindagi,N
mjy smjh nai aata k is dunya mn itni hawas kesy hai,N
zindagi mn rung bhar dy bhenchod,H
ary chootye ghalt photo hai ye,H
main itna khush hn k bhenchod mera lun phoola nahi mana rha hai,H
abi tk mjy kisi actor ka lund choosny ko nahi mila hai,H
bhenchod itna lar kyun rhy ho?,H
tumhari misal us kharish zadah kutty ki hai jo raat ko chand ki taraf mu kr k bhonkta rehta hai,H
tum kabi b apny malkaan per tanqeed nai kro gy,N
saleem safi kanjar hai,H
ye kutta mafroor hai hai,H
zyada hi cool ho gya bhenchod,H
kia tu meri kutton wali ker skta hai?,N
aa rha hum main teri maa chodny,H
punjab ki ansari baradri kammi kameen hai,H
tjy marna hai kia bhosrike,H
choot marani k nikal idhr se,H
itna tu ansar bazmi ka sala,H
tjy lun choosny ka bara shoq hai gandu,H
imran k naam per vote pernay ka waqt guzar chuka hai,N
jis shakhs se puri hakumar darti hai wo mera bahadur baap hai,N
mjy to soch ker hi dar lg rha hai,N
mjy ginti bhool gai hai,N
wo bht khofnak lamha tha,N
ary hut na bharwy,H
sardi mein meri lulli shrink ho jati hai,H
aby lulli k mu waley tu roast kry ga mjy,H
abi abi hamen pta chala hai k chooter chowk mn eik bnda halak ho gya hai,H
ary bhai iske to loray lg gaye hein,H
ye kia ho raha hai,N
eik mint ruk madarchod,H
iski to gand phat gai hai mjy lg raha hai,H
aisy log hoty hn jo apni phunno kaat k khaa lety hn,H
aisy log hoty hn jo apni potti khaa lety hn,H
tum teen bharwy nangay ghoomty rehty ho,H
paon pe charha hua haimery betichod,H
bhonsrike tum donon ki baat kr raha hun main,H
bohut paisa hai hamary paas madarchod,H
hindu nasal hi ghareebon ki hai,H
sb hindoun ki bund wajnay wali hai ,H
sikhon ne hindu baradri ko danda de dia hai,H
apni gaand mein daal le mirchen,H
chootya bn gya bhen ka lora,H
gand marwa li ho to chalty hn phir,H
eik to ghar ko kanjar khana bana k rakha hua hai,H
bhosrike phone aa raha hai mera,H
namaste gya gand marwaney,H
dimagh ka bhosra kr dia hai tu ne,H
moot ker aata hun phir araam se soun ga,N
chal ja pen yakka kam ker ja k,H
dunya chutyon se bhari pari hai,H
ducky bhai khoty ka bacha hai,H
ye dalla to next level pe chala gya hai,H
gaanda virus ka pehla shikar ducky tha,H
maa behen to beech mn la ker tu ne ghalti ker di hai chutiye,H
karela karwa aur ducky bharwa,H
tu mery lun pe beth gandu,H
bhola record aur teri gand mein khud marun ga,H
tu fake khusri hai,H
ducky bhai k polish krny wali bharwi pakri gai,H
tu kitna b try kr le ducky bhai jsea roast nai kr skta bharwy,H
saly ghar ghus k teil lga ker teri bund marun ga,H
maa ki kuss ye konsi roasting thi,H
yar ye ajeeb pen yakki hai,H
baji pesh kr k fame hasil kr le tu,H
ye gashta ali gutterabadi ki olaad hai,H
Tu merey level da admi hi nae hai shoreya,H
o phuddi k tu maar na khaa lein meray se,H
tu aur tera dost mery lun k neechy latky achy lago gy,H
ducky teri behen ka bnda hai lory,H
Wah bete intro mein to mauj kar di,N
tu mera putt chutti ni tatti kar,H
main aur kuch ni janta par bhola record tera abu hy or ducky tera dada,H
"O sasty roaster! ducky tera Abu hai, ab tu uske piche bol bol kar sasta fame hasil karna chata hai dally beghairat",H
maderchod ducky tera baap hai usi ko to tu copy kr rha hai,H
lund py charh tu us gandy andy ki shakl waly k sath,H
Bhola aaj kal wesy khudi sasti shorat hasal kr ny ki koshesh kr raha hai,N
Bholy ko pata lga na tera ty onay teri bund e marni hai,H
Tery jasy ducky ka tata saf karty hain bsdk,H
Ducky bhai k bachy tu baaz aa ja tu bari haram mout mrna ae,H
Abu ko roast kr rha hai bharvy,H
"Humari awam chutiya hai, islam main gali haram hai aur humare awam akser galiyan sun kr mazay leti hai",H
randi k bachy tu apny anjaam ki fiker kr,H
islam mn galam galoch mana hai,N
log is ganjay ko pasand krte hain,N
lanat hai aise logon pe jo is ganjy ko pasand krty hn,H
hindu ki gand mein hi keera hota hai,H
sary hindu harami hoty hn,H
hindu hai hi gandi nasal,H
hindu qoum sasti gashtion se bani hai,H
shair shah suri ne hinduon ki maa chod di thi,H
hindu to kutty ko b baap bna lety hn,H
isko first lady nai first randi kehna chahye,H
abi tax mang lia to bhenchodo ka rona shuru ho jana hai,H
ye bat teri maa ko samjhani pary gi,N
tu sirf aur sirf meri hai,N
tu choot na mara mery samny,H
dimagh k loray lga daly teri kahani ne,H
Chal beghairat tu konsa insan ka bacha hai,H
Abe sale tu b fame k chakar main ducki bhai ko roast karta hai,H
teri itni auqat nai k tu us ko roast kare,H
Meri baat sun face cam roasting kar tab pata chale ga tuje behnchod,H
Bsdk bat sun tu chutya hai tha or rhe ga,H
musalman paida hona hi sharap hai,H
kuss marani k hindu kanjar,H
bharwy yahoodi sb ki bund maar rhy hn,H
tu chutiya tera pio vi chutiya tera rishtadar vi chutiya,H
teri maa ki phuddi maru,H
bolta ase hai jasy loura phas gya ho mou mai tery,H
keh do k ye jhoot hai kamla,N
Beta time lge ga ducky ka level pane k lye,N
ducky k kutty ho tum sab,H
Ghasti dya bachya ducky tera abu ay ty bhola tera dada tery muh vich lul,H
tu apna mou apni dhoi meh ly or soja,H
bara hi sasta tatta hai tu to,H
Sai li bhai ap nay is ducky gandu ki,H
teri fitrat hai jhoot bolny ki,N
sahi li randi k bachy ki,H
bara khush lg rha ha bhencho,H
Ducky tum jaison pay thokta bhi nahi hai,H
ducky ne teri maa kb chodi?,H
tu sasta roaster nhi sasta gashta or sasta gaanddu ha,H
baaz aa ja khoti k bachy,H
Chal oye sastay rosater bhosdi ky pehli fursat mein,H
Ducky ky tu tatton ki choon ky brabr b ne,H
ducky ka lun mu main lena chor or koi apna mujra pesh ker sastay dhakkan,H
Tu b to ducky ko bhen pesh kr rha he gando,H
wo kyun aisi jagah pe rehna chahy ga jahan ye bhosri wala reh rha hai,H
is tind waly ko koi iske planet wapis chor aao,N
jb gand mn ungal kro gy to smell to aye gi na,H
tu bholy ko baji pesh na kr,H
lagai rakho shugal mela,N
lun k topay jesi teri shakal hai,H
muth mar k aaya ha kiya jo dimag kam ni kr raha,H
teri bnda gaand b maaray or paise b na de,H
bhola sahi keh raha hai,N
alex bhatti ki gandi olad hai tu,H
kitni speed mn bak bak krta hay tu yaar,H
Aisa lagta hay kisi nay teri gaand mn 10 horse power ka engine fit kr dia ho,H
sasti gashti ka bacha bhag gya hai,H
mar gya madarchod,H
teri bhen dy phuddy vich corona virus paa dena ae,H
ab is madarchod ka roast bny ga,H
ji oye ohuddi deya,H
lga reh bhai,N
ducky jani zindabad,N
tumhen is video mn b meri bakwas ko bardasht krna pary ga,N
larkion ko dekh kr tharak kisi ne b nai jharni,N
bghair thook lgaye tery mu mn lora gusher dun ga,H
tumhary lund ka topa ghaib nahi ho jaye ga,H
tumhary 2 tatty 3 nahi ho jayen gy,H
iski choot itni bari hai k puri dharti is mn sama jaye gi,H
jb ye hugny bethy ga na to tatti kam aur missile zyada niklen gy,H
music band ker madarchod,H
loru lalit mera favourite dialog hai,H
lakh di thoo tery mu ty,H
tum log mjy beemar kr do gy,N
har bongy joke per b hasna aur chilana lazmi hai,N
is tarah k tharki bndy ko mustaqbil mn chootya of the year ka award mil jaye ga,H
apni zuban ko lagam de le modi,N
jayen main nahi bolta apse,N
konsa sasta nasha ker raha hai aaj kal?,N
delhi mn quran ko phaar dia gya,H
yeh alag kisi nashay mein dhutt rehta hai,N
modi chutiyon ka PM hai,H
janta maaf nahi kary gi,N
tujhy kia problem hai,N
hum yahan loray leny bethy hn kia,H
hum log kitny bary chutiye hn,H
yahan per sirf looks aur jism ki qadar hoti hai,N
lund baratiyon ko support kro gy to aagy ja k galiyan hi milen gi na,H
tatti krty huay bht achi soch aati hai,N
buri aadat chor do ab,N
kaminy baaz aa ja ab,N
tera randi rona yun hi chalta rehta hai,N
dil khoon k ansu rota hai ye dekh kr,N
bhenchod kabi bat hi karliya karo khud se,H
gandi aurat ka koi jawab nai deta,N
ye begharat hai hi topi baz,H
aurat hamesha dhoka hi deti hai,H
teri koi auqat nahi hai mery samny,N
aaj maa ne daal ka halwa bnaya hai,N
oye china k khusry kb khoon kholy ga re tera,H
mera mota lund teri choti gand phar k rakh de ga,H
phuddi marany ka zyada shoq nai ho rha tjy?,H
egypt ki bachian chikni hoti hn,N
bangali wajjen mery lun pe,H
bangali aur khusry mn koi farq nai hota,H
bangali bachi ki phuddi bht kali hoti hai,H
main ne kutta pala hua hai aur uski shakal bangalion se milti hai,H
bangali bachi chodi thi main ne kal,H
bangali har kam sasty mein ker detay hein,N
bangali kafi mehnat krny wali qoum hai,N
bangalion k sath mazi mn kafi zulm hua hai,N
yahan per india ki monopoly hai,N
bharat agr chahay to hamari madad ker sakta hai,N
ye sab rasty punjab ki taraf jaty hein,N
agr bharat sath na deta to hum haar jaty,N
bharat ka sath hamary liye bht zaruri hai,N
bharat ki abadi din ba din bharti ja rahi hai,N
agr yun hi abadi barhti rahi to india jald sab se zyada abadi wala mulk bn jaye ga,N
india hamara parosi mulk hai,N
pakistan b eik acha parosi hai,N
rishton ka ehtram har mazhab mn sikhaya jata hai,N
adab se raho aur larai na karo,N
sexy logo kesy ho,N
sangdil maa ne apny bachon ko zinda jala dia,H
tatti aur tiktok takreeban same hi hein,H
tiktok bhi kisi tatti se kam nahi hai,H
aisi shakal tb bnti hai jb kisi ko johny bhai ka lulla dal jaye,H
oye hoye aashiqi chal rahi hai landhi k imran hashmi,N
muft mn traffic k loray lg gaye hn,H
chand taray kesy laye? tumhara aashiq hai ya astronaut hai bhosrika,H
ary funny bhai ruk jao wrna mery tatty phat jayen gy hans hans k,H
parhai nai kro gy to koi londeya nai de ga,N
londay barbad ho gaye hn aaj kal k,N
is makhsoos tatty k roast ka mjy bht intezar tha,H
ye aagy se lund leny wala londa hai,H
Esy londy jhuk k payal bandh rhy hoty hain or pechy sy pathan bund maar jata hai,H
Bsdk tu saath break dance bhi shuru karde,H
Is k upr roasting kr k sahi kiya h,N
tm bhi kisi polio virus ki pedaish se km nahi lgty,H
Aap ki video bahut achi lagti hain please thodi zyada video upload kiya karo,N
Loru khud tjhe 3 4 galion k ata kya he,H
Hahaha end krdia maa chod do is ki chutiya insan gand tareen,H
tareen ki tou cheeke nikalny wali hain,N
Tumhari shkl tu khud kutty jesi ha,H
usnay teri trha galliyan day kar aur bkwas karkay fame hasil nhi kiya,N
Khud ko aik taraf khara kar aur dosri taraf Hussain ko phir btana kis ki fan zyada ha,N
mein tujey dekh kr samjha k kisi polio k ad mein polio wala bacha hai,H
Aray parhai nahi kro gy to log laat mar k nikal den gay ghr say,N
tu kch zyada hi faltu bhonkta hai,H
goron ki aadat hoti hai aisy faltu bhonkna,H
goray to apni tatti b khaa jaty hn,H
goray aur suwar mein koi farq nai hota,H
gory tharak mein apni behen b chod dety hn,H
angrez tameezdar kabi nai ho skta,H
amreeki sb se zyada harami hoty hn,H
europe waly apny aap ko sb se bara lora samajhty hn,H
canada mn bachion k b lory nikal aaty hein,H
afreeki maayuvy janwaron ko b chod dety hn,H
sweden ma khoti k bachy rehty hain,H
khud ko dekh le phr dusron ka roast bna,N
oo boothi band kar oye apni,H
meri kamyabi dekh k teri jali na?,N
great ho gya bhai mujy bht tap thi is madarchod py ab sakoon ho gya,H
Tujhe bohot rulaya he logo ne ma aese nhi rulao ga,N
agli baar condom ke packet sath le ke jao ga,N
shakal ki bat mat karo kyun k shakal to tmhari b lun jesi hai,H
haye bahi ko larka pasand a gaya,N
tum ma or sulamani topa ma koe farq nhi,H
ni yr mai tiktoker ni hu roast krna hai toh kro but wo pyara hai shakal ki bt mat kro,N
Han isi lund ko le or apni gand me dahi jama le iski,H
Yha jitny b galya de rhy hai un sbki cus me lun de du,H
Teri q jal rahi hai landhi k tik toker,N
abbay nikal gahaday ka lund,H
tum apni gand de do hussain tareen ko,H
cigerette to main sirf daru k sath peeta hun,N
cigerette pee ker hugnay ka alag hi maza hai guru,N
cigerette peeny se awaz bhari ho jati hai,N
sex k baad cigerette peeny ki alag hi chas aati hai,N
teen din se patli tatti aa rai hai mery ko,N
band kr apna news channel yar,N
kia yar tery paas eik b cigerette nai hai?,N
le bhenchod pee cigerette,H
kahan phans gya bhenchod,H
sir se sb se chutya sawal hai,H
oye chup bhen k loray,H
mery papa halwai ka kam krty thay,N
kia bhonk rha hai tera lund aaj kal,H
bhag bhenchod tum ko kia krna hai,H
zindagi mn paisa hi sab kuch nahi hai,N
aur english sunay ga madarchod to sun ab,H
hawa mn oxygen ki maatra barh jati hai unki angrezi sun k ,N
pury college ki larkian in chution ko apna pati maan chuki hn,H
in assignments aur papers ne hamari gaand maar k rakh di hai,H
mahinon tk nahana bhool jaty hain hum log,N
bina english boly aur bina larkion se bat kiay kon gandy rehna chahta hai bay,H
time kahan hai kuch seekhnay k liye,N
apun ma tery ko kia acha lgta hai?,N
Or tmhara face b kisi se kam nhi apne lafzon ko dekho kis tarha bol rahy ho views k liye kuch b kr sakty ho fazul insan,N
ohh aunty g kia hogya,N
dekh kesi ma chodi hai iski,H
dil ki bat cheen li isko roast kr ky,N
"Mei ye galti dubara ni duhrao ga, agli dafa lun pe saathi charao ga",H
"Shakal Allah ney banayi hai, Allah ki banyi hoi cheez mein koi kami nai hosakti hai",N
me dhalne se phly teri gand mein tel lagonga,H
Saii khel gya bhaii,N
yeh kesa swag hai?,N
"Jab se tera like kea page, handsfree sath rkhni parti hen",N
Abhay salay phala aapni nazar theek kar haramii,H
Mou ka mazaq nh urhaya kar bhosriwaly,H
bahii khodkoshi kar lega wo ye dekh kr,N
Bhaii end kr diya apny ny to,N
Yr bahi ap waki me mulk ka name roshnan kr rahy ho apko to 21 toppo ki salami deni chayee,N
21 ki 21 topon ki salami apki gaand main deni chahiay,H
Bhai itni let kyon kar rahe ho video,N
isky baki tatto ko bhi mention kr,H
ajeeb hai tu bsdk tbyt se farigh insan,H
jalii gand jalii?,H
Finally is dhakkan jaise moo wale ki bhai ne li,H
Isko bhi jacket nadeem bsdkwalay nay di hai,H
bohot taiz ho rahe ho,N
Galiyan kam dia kar yarrr,N
ye ap ka bhi fav person tha na,N
ye loro das lundon sy aaya hai,H
main ungli krwa kr nikal jaoonga,N
yar ye larka bc kitna harami he hahaha,H
ye bhi sai hai jissy is tatti ticktoker ka pta nai hoga apki mehrbani sy lag gya pta,H
ye bhi ek tarah sy promotion e hai,N
ye kiya baat hue boss?,N
status laga do pura khandan dekh lega,N
ab to khush ho jao janeman,N
dil khush krdiyaa isny,N
Mene Abhi Dheki Thi Thori Dair Phely,N
Sub tiktokers ki baari bari lia karo plz yar bht maza atw ha,N
Yarrr dill se like hai is video pr,N
aisy hi bund martay raho inki,H
